cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
RACE-DT,defendant_type_mix,GOVERNMENT,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOA_CONDO_ASSN,P2,4,10,0.400000,0.100000,0.700000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOUSING_AUTHORITY,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,MUNICIPALITY,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,OTHER,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PRIVATE_LANDLORD,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PROPERTY_MANAGEMENT,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,DEVELOPER,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,GOVERNMENT,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOA_CONDO_ASSN,P3,7,19,0.368421,0.157895,0.578947,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,HOUSING_AUTHORITY,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,MUNICIPALITY,P3,3,19,0.157895,0.000000,0.315789,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,OTHER,P3,2,19,0.105263,0.000000,0.263158,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PRIVATE_LANDLORD,P3,4,19,0.210526,0.052632,0.421053,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,defendant_type_mix,PROPERTY_MANAGEMENT,P3,2,19,0.105263,0.000000,0.263158,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,APPEAL,P1,8,42,0.190476,0.071429,0.309524,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,DISCOVERY,P1,0,42,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,MOTION_TO_DISMISS,P1,21,42,0.500000,0.357143,0.642857,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER,P1,0,42,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER_PROCEDURAL,P1,0,42,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,SUMMARY_JUDGMENT,P1,13,42,0.309524,0.190476,0.452381,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,APPEAL,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,DISCOVERY,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,MOTION_TO_DISMISS,P2,5,10,0.500000,0.200000,0.800000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER_PROCEDURAL,P2,0,10,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,SUMMARY_JUDGMENT,P2,2,10,0.200000,0.000000,0.500000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,APPEAL,P3,4,19,0.210526,0.052632,0.421053,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,DISCOVERY,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,MOTION_TO_DISMISS,P3,8,19,0.421053,0.210526,0.631579,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,OTHER_PROCEDURAL,P3,1,19,0.052632,0.000000,0.157895,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,procedural_posture_mix,SUMMARY_JUDGMENT,P3,5,19,0.263158,0.052632,0.473684,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_false,P1,42,42,1.000000,1.000000,1.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_true,P1,0,42,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_false,P2,9,10,0.900000,0.700000,1.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_true,P2,1,10,0.100000,0.000000,0.300000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_false,P3,19,19,1.000000,1.000000,1.000000,registered,APPENDIX-READY,thin represented context cohort
RACE-DT,section_504_ra_overlay_share,is_ra_case_true,P3,0,19,0.000000,0.000000,0.000000,registered,APPENDIX-READY,thin represented context cohort
