cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
DIS,court_circuit_mix,10th Circuit,P3,8,81,0.098765,0.037037,0.172840,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,11th Circuit,P3,8,81,0.098765,0.037037,0.160494,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,1st Circuit,P3,2,81,0.024691,0.000000,0.061728,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,2nd Circuit,P3,10,81,0.123457,0.061728,0.197531,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,3rd Circuit,P3,11,81,0.135802,0.061728,0.209877,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,4th Circuit,P3,5,81,0.061728,0.012346,0.123457,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,5th Circuit,P3,8,81,0.098765,0.037037,0.172840,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,6th Circuit,P3,7,81,0.086420,0.024691,0.148148,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,7th Circuit,P3,5,81,0.061728,0.012346,0.123457,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,8th Circuit,P3,6,81,0.074074,0.024691,0.135802,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,9th Circuit,P3,11,81,0.135802,0.061728,0.222222,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,D.C. Circuit,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,MISSING,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,DEVELOPER,P1,4,176,0.022727,0.005682,0.045455,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GOVERNMENT,P1,2,176,0.011364,0.000000,0.028409,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,GROUP_HOME_OPERATOR,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,defendant_type_mix,HOA_CONDO_ASSN,P1,21,176,0.119318,0.073864,0.164773,registered,APPENDIX-READY,featured represented decided disability cohort
