arm,n_p1,n_p3,strict_p1,strict_p3,change_p3_minus_p1,decline_p1_minus_p3,composition_effect_comp_first,composition_share_comp_first,composition_effect_rate_first,composition_share_rate_first,composition_effect_path_symmetric,composition_share_path_symmetric,represented_n_p1,represented_n_p3,pro_se_n_p1,pro_se_n_p3,claim_gate
DIS,383,314,0.21148825065274152,0.1178343949044586,-0.09365385574828292,0.09365385574828292,0.052505561674898865,0.5606342766711078,0.055184820106860016,0.5892423719871437,0.05384519089087944,0.5749383243291257,176,81,207,233,APPENDIX-READY
RD-PURE,170,141,0.2882352941176471,0.10638297872340426,-0.18185231539424285,0.18185231539424285,0.07355730217082662,0.40448922528899145,0.08125115515498103,0.4467974739768054,0.07740422866290383,0.42564334963289846,94,38,76,103,APPENDIX-READY
DT-PURE,78,53,0.10256410256410257,0.1509433962264151,0.048379293662312514,-0.048379293662312514,-0.010014513788098684,nan,-0.01583491496408767,nan,-0.012924714376093178,nan,18,14,60,39,APPENDIX-READY
RACE-DT,138,71,0.08695652173913043,0.05633802816901408,-0.030618493570116354,0.030618493570116354,0.005467588137520784,0.17857142857142877,0.005094818160857423,0.1663967611336034,0.005281203149189104,0.17248409485251612,42,19,96,52,APPENDIX-READY
NONDIS,325,219,0.10461538461538461,0.0502283105022831,-0.05438707411310151,0.05438707411310151,0.026146069352844605,0.4807405027612283,0.021820581283896814,0.40120895708637455,0.02398332531837071,0.4409747299238015,131,59,194,160,APPENDIX-READY
