cohort,n,date_filed_missing_n,date_filed_missing_share,claim_gate
DIS,1495,474,0.31705685618729096,APPENDIX-READY
DIS_ANY_SENSITIVITY,1900,553,0.2910526315789474,APPENDIX-READY
RACE-DT,414,125,0.30193236714975846,APPENDIX-READY
RACE-ALL,578,198,0.34256055363321797,APPENDIX-READY
NONDIS,1193,359,0.30092204526404026,APPENDIX-READY
FAM,61,26,0.4262295081967213,APPENDIX-READY
RD-PURE,706,217,0.3073654390934844,APPENDIX-READY
DT-PURE,286,104,0.36363636363636365,APPENDIX-READY
MIXED,413,135,0.3268765133171913,APPENDIX-READY
