arm,representation,n_classifiable,family_A_share,family_A_ci_low,family_A_ci_high,family_B_share,family_C_share,n_unclear_misfilter_noconsensus,family_A_share_sensitivity_all_rows,claim_gate
RD-PURE,pro_se,116,0.16379310344827586,0.10344827586206896,0.23275862068965517,0.3793103448275862,0.45689655172413796,5,0.15702479338842976,APPENDIX-READY-MACHINE-VERIFIED
RD-PURE,represented,22,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.8636363636363636,2,0.041666666666666664,APPENDIX-READY-MACHINE-VERIFIED
RD-PURE,all,138,0.14492753623188406,0.08695652173913043,0.2028985507246377,0.3333333333333333,0.5217391304347826,7,0.13793103448275862,APPENDIX-READY-MACHINE-VERIFIED
DT-PURE,pro_se,132,0.015151515151515152,0.0,0.03787878787878788,0.5909090909090909,0.3939393939393939,2,0.014925373134328358,APPENDIX-READY-MACHINE-VERIFIED
DT-PURE,represented,11,0.09090909090909091,0.0,0.2727272727272727,0.45454545454545453,0.45454545454545453,0,0.09090909090909091,APPENDIX-READY-MACHINE-VERIFIED
DT-PURE,all,143,0.02097902097902098,0.0,0.04195804195804196,0.5804195804195804,0.3986013986013986,2,0.020689655172413793,APPENDIX-READY-MACHINE-VERIFIED
RACE-DT,pro_se,159,0.018867924528301886,0.0,0.0440251572327044,0.5723270440251572,0.4088050314465409,1,0.01875,APPENDIX-READY-MACHINE-VERIFIED
RACE-DT,represented,26,0.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0,0.0,APPENDIX-READY-MACHINE-VERIFIED
RACE-DT,all,185,0.016216216216216217,0.0,0.03783783783783784,0.5243243243243243,0.4594594594594595,1,0.016129032258064516,APPENDIX-READY-MACHINE-VERIFIED
